Year,Area Harvested: 1000 Ha ,Yield MT / Ha,Production Quantity  1000 MT,Import Quantity 1000 MT,Export Quantity 1000 MT,Stock Variation 1000 MT ,Feed + Seed 1000 MT,Waste + Processed + OtherUtilization 1000 MT,Food Availability 1000 MT,Food Availability per capita kg/cap/yr,Cereal Food Aid Grain Equiv. 1000 MT,Total Grain Equiv. 1000 MT,Non-Cereal Food Aid; Grain Equiv. 1000 MT,FAO Conversion Rate for Root Crops from MT to Grain Equiv. MT,Area Harvested 1000 Ha ,Yield MT / Ha,Production Quantity Grain Equiv. 1000 MT,Import Quantity Grain Equiv. 1000 MT,Export Quantity Grain Equiv. 1000 MT,Stock Variation Grain Equiv. 1000 MT,Feed + Seed Grain Equiv. 1000 MT,Waste + Processed + OtherUtilization - Stock Variation ,Food Availability Grain Equiv. 1000 MT,Food Availability per capita kg/cap/yr,Production Quantity Grain Equiv. 1000 MT,Food Availability per capita kg/cap/yr,Food Supply Grain Equiv. 1000 MT,Area Harvested 1000 Ha,Food Supply Grain Equiv. kg/cap/yr,Food Supply Grain Equiv. 1000 MT / yr,Total Population - Both Sexes Million,Population Growth Rate Percent,"Gross Domestic Product, constant prices Percent change",GDP (constant 2010 US$) Million,WB GDP (constant 2005 US$) / FAO population $/Person,Imports of goods and services (constant 2010 US$) Million,Exports of goods and services (constant 2010 US$) Million,Import Value Million US$,Import Unit Value US$ / MT
1990,1601,4.32,6909,929.60,0.00,-380.00,2727.50,737.00,3994,197.79,N/A,N/A,N/A,0.25,78.53,3.33,262,3.93,0.00,15.39,70.65,10.76,184,9.11,7171,206.90,8104,1679,82.48,1666,20.19,N/A,N/A,N/A,N/A,N/A,N/A,91.80,98.75
1991,1543,4.53,6992,1215.60,0.00,-295.00,3050.60,737.00,4125,201.12,N/A,N/A,N/A,0.25,79.96,3.20,256,6.02,0.00,11.52,65.09,14.34,182,8.88,7248,210.01,8469,1622,82.69,1696,20.51,1.56,N/A,N/A,N/A,N/A,N/A,184.21,151.54
1992,1550,4.12,6391,1094.00,0.00,200.00,2834.00,747.00,4104,196.95,N/A,N/A,N/A,0.25,92.00,3.09,284,0.37,0.01,0.00,55.54,28.47,201,9.63,6675,206.58,7770,1642,71.83,1497,20.84,1.60,N/A,N/A,N/A,N/A,N/A,205.92,188.23
1993,1491,4.39,6540,566.00,0.00,305.00,2790.00,495.00,4126,194.95,N/A,N/A,N/A,0.25,45.50,2.95,134,0.00,7.48,0.00,26.11,13.41,87,4.12,6675,199.07,7241,1537,66.30,1403,21.17,1.57,N/A,N/A,N/A,N/A,N/A,235.68,416.39
1994,1524,3.85,5872,827.00,0.00,250.00,2330.00,481.00,4138,192.65,N/A,N/A,N/A,0.24,69.00,2.72,187,0.00,2.45,0.00,36.52,18.74,130,6.04,6059,198.69,6886,1593,66.42,1427,21.48,1.48,N/A,N/A,N/A,N/A,N/A,74.03,89.52
1995,1521,2.24,3399,804.00,0.00,255.00,377.00,455.00,3626,166.60,564.81,564.94,0.12,0.24,56.00,2.53,142,0.00,0.61,0.00,27.65,14.17,99,4.56,3540,171.16,4344,1577,60.53,1317,21.76,1.33,N/A,N/A,N/A,N/A,N/A,254.58,316.64
1996,1407,1.74,2450,1577.00,0.00,371.00,665.00,302.00,3431,155.83,523.11,536.88,13.77,0.25,61.00,2.77,169,3.88,1.24,0.00,36.79,16.90,118,5.36,2619,161.18,4200,1468,59.39,1308,22.02,1.16,N/A,N/A,N/A,N/A,N/A,249.27,158.07
1997,1447,1.96,2828,1739.00,0.00,-50.00,554.00,485.00,3478,156.38,924.04,972.34,48.30,0.25,105.00,2.61,274,0.13,0.62,0.00,52.77,27.38,193,8.68,3102,165.06,4841,1552,58.23,1295,22.24,1.02,N/A,N/A,N/A,N/A,N/A,305.84,175.87
1998,1424,2.39,3407,1186.00,0.00,-255.00,749.00,533.00,3056,136.14,811.83,882.46,70.62,0.25,154.00,2.70,416,0.06,0.61,0.00,81.09,41.59,293,13.03,3822,149.17,5008,1578,55.20,1239,22.45,0.92,N/A,N/A,N/A,N/A,N/A,280.90,236.85
1999,1348,2.20,2972,1288.93,0.00,186.00,772.00,416.00,3091,143.95,1048.69,1140.73,92.05,0.25,223.50,2.16,482,1.29,0.61,0.00,94.22,48.29,340,15.01,3454,151.53,4744,1572,57.53,1303,22.64,0.88,N/A,N/A,N/A,N/A,N/A,225.63,175.05
2000,1234,1.87,2301,1731.03,0.00,60.00,684.00,410.00,3133,131.28,1254.48,1370.95,116.47,0.23,211.00,2.40,506,0.47,0.59,0.00,104.71,50.69,351,15.36,2808,152.55,4539,1445,62.93,1437,22.84,0.88,N/A,N/A,N/A,N/A,N/A,337.77,195.13
2001,1287,2.42,3109,1548.46,0.00,44.00,868.00,455.36,3139,146.61,1565.61,1639.37,73.75,0.23,212.70,2.82,600,0.56,0.13,0.00,124.80,60.10,416,18.05,3710,154.28,5259,1499,58.45,1347,23.04,0.89,N/A,N/A,N/A,N/A,N/A,301.46,194.68
2002,1320,2.58,3403,1352.65,0.00,-265.00,877.00,449.44,3189,136.10,1138.01,1278.63,140.61,0.24,225.00,2.33,525,0.30,0.18,0.00,107.54,52.48,365,15.69,3927,152.84,5280,1545,64.46,1499,23.25,0.89,N/A,N/A,N/A,N/A,N/A,253.83,187.66
2003,1352,2.64,3565,927.00,0.00,-140.00,812.90,539.48,3225,127.92,949.30,1014.88,65.58,0.24,212.69,2.64,561,0.58,0.35,0.00,115.34,56.19,390,16.63,4126,154.15,5054,1564,59.47,1395,23.45,0.87,N/A,N/A,N/A,N/A,N/A,249.09,268.71
2004,1307,2.77,3619,1137.96,0.00,160.00,203.60,901.40,3717,161.27,842.15,921.07,78.92,0.24,216.50,2.63,569,0.54,0.63,0.00,116.89,57.00,395,16.73,4189,173.96,5327,1524,61.46,1453,23.64,0.81,N/A,N/A,N/A,N/A,N/A,309.71,272.16
2005,1382,2.99,4135,584.63,0.00,25.00,234.00,855.20,3748,153.50,1148.16,1179.66,31.50,0.24,216.50,2.63,570,0.59,0.61,0.00,117.34,57.08,396,16.62,4705,174.01,5290,1599,59.09,1407,23.81,0.74,N/A,N/A,N/A,N/A,N/A,351.01,600.40
2006,1319,3.02,3985,847.98,0.00,250.00,223.00,725.20,3721,172.49,325.32,332.92,7.60,0.24,191.94,2.91,559,0.48,1.13,0.00,114.48,55.91,388,16.17,4543,171.39,5392,1511,56.82,1362,23.97,0.66,N/A,N/A,N/A,N/A,N/A,103.20,121.70
2007,1333,2.14,2856,803.19,0.00,175.00,95.00,540.53,3621,132.65,740.59,760.31,19.72,0.24,199.94,2.70,539,0.16,2.38,0.00,109.89,53.94,373,15.48,3395,165.66,4198,1533,55.31,1334,24.11,0.59,N/A,N/A,N/A,N/A,N/A,350.10,435.89
2008,1316,2.58,3390,493.93,0.00,70.00,90.00,416.50,3433,142.20,347.98,427.29,79.31,0.24,208.69,2.20,459,0.07,3.83,0.00,91.74,45.87,317,13.09,3849,154.68,4343,1525,55.53,1346,24.24,0.55,N/A,N/A,N/A,N/A,N/A,108.08,218.81
2009,1319,2.64,3487,379.12,0.00,0.00,85.00,419.04,3349,137.94,316.87,331.68,14.81,0.24,162.00,2.92,473,0.01,3.76,0.00,94.68,47.34,328,13.44,3960,150.86,4339,1481,55.53,1353,24.37,0.53,N/A,N/A,N/A,N/A,N/A,177.52,468.24
2010,1320,2.59,3422,471.22,0.00,-52.00,83.17,343.60,3404,139.37,101.07,117.25,16.18,0.24,164.00,3.16,518,0.01,2.19,0.00,103.56,51.78,360,14.70,3940,153.63,4411,1484,55.53,1360,24.50,0.53,N/A,N/A,N/A,N/A,N/A,141.44,300.17
2011,1309,2.89,3786,692.99,0.00,-7.00,173.07,758.33,3562,143.74,55.27,74.92,19.65,0.24,171.00,3.11,532,0.03,1.64,0.00,106.38,53.19,371,15.05,4318,159.67,5011,1480,55.53,1368,24.63,0.53,N/A,N/A,N/A,N/A,N/A,219.19,316.29
2012,1325,3.18,4217,388.22,0.00,-28.00,126.40,793.20,3670,147.69,391.04,416.74,25.69,0.24,162.00,2.80,454,0.06,1.55,0.00,61.77,38.15,353,14.24,4671,162.47,5059,1487,55.53,1375,24.76,0.53,N/A,N/A,N/A,N/A,N/A,345.23,889.28
2013,1307,3.31,4323,393.99,0.00,-58.00,128.43,836.11,3643,148.42,N/A,N/A,N/A,0.24,179.00,3.04,545,0.05,1.57,0.00,108.99,54.49,380,15.26,4868,161.58,5262,1486,55.53,1382,24.90,0.53,N/A,N/A,N/A,N/A,N/A,439.78,1116.24
2014,1283,3.46,4435,401.47,0.00,47.00,127.00,983.23,3782,150.78,N/A,N/A,N/A,0.24,190.64,2.99,570,0.05,1.57,0.00,108.99,54.49,405,16.18,5005,167.29,5407,1473,55.53,1390,25.03,0.53,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2015,,,4006,674.10,0.00,30.00,170.00,858.78,3701,146.35,#N/A,#N/A,#N/A,0.24,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,55.53,1397,25.16,0.51,GC_GDPPrc,,,#VALUE!,#VALUE!,,
2016,,,4239,420,0,-250,150,573,3687,145.82,,,,,,,,,,,,,,#N/A,,,,,55.53,1404,25.28,0.50,GC_GDPPrc,,,,,,
